seed,permutation,learned_accuracy,learned_macro_f1,shuffled_accuracy,shuffled_macro_f1
42,74,0.856140350877193,0.8364899347527317,0.8210526315789474,0.7839771531728328
42,75,0.856140350877193,0.8364899347527317,0.8350877192982457,0.8089555082187074
42,76,0.856140350877193,0.8364899347527317,0.8140350877192982,0.7757476367607876
42,77,0.856140350877193,0.8364899347527317,0.8315789473684211,0.7953199098520258
42,78,0.856140350877193,0.8364899347527317,0.8280701754385965,0.8051664774414196
42,79,0.856140350877193,0.8364899347527317,0.8280701754385965,0.8015904194457845
42,80,0.856140350877193,0.8364899347527317,0.8070175438596491,0.7598770482041335
42,81,0.856140350877193,0.8364899347527317,0.8315789473684211,0.7946521002342378
42,82,0.856140350877193,0.8364899347527317,0.8456140350877193,0.8161593402199951
42,83,0.856140350877193,0.8364899347527317,0.8175438596491228,0.7762639992000222
42,84,0.856140350877193,0.8364899347527317,0.8350877192982457,0.8040461300148058
42,85,0.856140350877193,0.8364899347527317,0.8350877192982457,0.8066978815937149
42,86,0.856140350877193,0.8364899347527317,0.8140350877192982,0.7747009535958722
42,87,0.856140350877193,0.8364899347527317,0.8245614035087719,0.7926188197500066
42,88,0.856140350877193,0.8364899347527317,0.8350877192982457,0.8095002583230377
42,89,0.856140350877193,0.8364899347527317,0.8280701754385965,0.7999270798531881
42,90,0.856140350877193,0.8364899347527317,0.8350877192982457,0.8080828240088815
42,91,0.856140350877193,0.8364899347527317,0.8140350877192982,0.7732339052763786
42,92,0.856140350877193,0.8364899347527317,0.8385964912280702,0.8105503429051557
42,93,0.856140350877193,0.8364899347527317,0.8245614035087719,0.7919490084106955
42,94,0.856140350877193,0.8364899347527317,0.8175438596491228,0.7813823150806236
42,95,0.856140350877193,0.8364899347527317,0.8140350877192982,0.7780874933296366
42,96,0.856140350877193,0.8364899347527317,0.8280701754385965,0.7922536351360301
42,97,0.856140350877193,0.8364899347527317,0.8245614035087719,0.7834290270424873
42,98,0.856140350877193,0.8364899347527317,0.8280701754385965,0.7911653411301962
42,99,0.856140350877193,0.8364899347527317,0.8421052631578947,0.8139581861225624
